2024-07-15 16:49:32,664 DEBUG   HandlerThread:156153 [system_monitor.py:probe():223] {'os': 'Linux-5.14.21-150500.55.49-default-x86_64-with-glibc2.31', 'python': '3.11.8', 'heartbeatAt': '2024-07-15T16:49:32.649251', 'startedAt': '2024-07-15T16:49:32.274351', 'docker': None, 'cuda': None, 'args': ('-d', 'oral_data', '-s', 'SMILES', '-l', 'EPACategoryIndex', '-t', '0.2', '-E', '50'), 'state': 'running', 'program': '/lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/run_script_lv_multi.py', 'codePathLocal': 'run_script_lv_multi.py', 'codePath': 'ModelTraining/MolFormer_MultiTask_Class/run_script_lv_multi.py', 'git': {'remote': 'https://github.com/architvasan/Pharmacokinetic_Modeling.git', 'commit': '236c7a6cb133249e0c5d8fcee85bfac658d88927'}, 'email': None, 'root': '/lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling', 'host': 'x3006c0s13b1n0', 'username': 'lvairusanl', 'executable': '/lus/eagle/projects/datascience/avasan/envs/sst_tf216/bin/python', 'cpu_count': 32, 'cpu_count_logical': 64, 'cpu_freq': {'current': 2807.2728750000033, 'min': 0.0, 'max': 0.0}, 'cpu_freq_per_core': [{'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2584.787, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}, {'current': 2794.725, 'min': 0.0, 'max': 0.0}], 'disk': {'/': {'total': 20.0, 'used': 1.6516799926757812}}, 'gpu': 'NVIDIA A100-SXM4-40GB', 'gpu_count': 4, 'gpu_devices': [{'name': 'NVIDIA A100-SXM4-40GB', 'memory_total': 42949672960}, {'name': 'NVIDIA A100-SXM4-40GB', 'memory_total': 42949672960}, {'name': 'NVIDIA A100-SXM4-40GB', 'memory_total': 42949672960}, {'name': 'NVIDIA A100-SXM4-40GB', 'memory_total': 42949672960}], 'memory': {'total': 503.1979789733887}}
2024-07-15 16:49:32,664 INFO    HandlerThread:156153 [system_monitor.py:probe():224] Finished collecting system info
2024-07-15 16:49:32,664 INFO    HandlerThread:156153 [system_monitor.py:probe():227] Publishing system info
2024-07-15 16:49:32,664 DEBUG   HandlerThread:156153 [system_info.py:_save_conda():207] Saving list of conda packages installed into the current environment
2024-07-15 16:49:33,509 INFO    Thread-12 :156153 [dir_watcher.py:_on_file_created():271] file/dir created: /lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/wandb/run-20240715_164932-it3cuk0r/files/conda-environment.yaml
2024-07-15 16:49:42,521 INFO    Thread-12 :156153 [dir_watcher.py:_on_file_modified():288] file/dir modified: /lus/eagle/projects/datascience/lvairus/Pharmacokinetic_Modeling/ModelTraining/MolFormer_MultiTask_Class/wandb/run-20240715_164932-it3cuk0r/files/conda-environment.yaml
2024-07-15 16:49:42,549 DEBUG   HandlerThread:156153 [system_info.py:_save_conda():222] Saving conda packages done
2024-07-15 16:49:42,553 INFO    HandlerThread:156153 [system_monitor.py:probe():229] Finished publishing system info
2024-07-15 16:49:42,572 DEBUG   HandlerThread:156153 [handler.py:handle_request():146] handle_request: status_report
2024-07-15 16:49:42,572 DEBUG   HandlerThread:156153 [handler.py:handle_request():146] handle_request: keepalive
