config: {}
2024-07-22 15:10:02,553 INFO    Thread-15 (_run_job):2003444 [wandb_init.py:init():602] starting backend
2024-07-22 15:10:02,553 INFO    Thread-15 (_run_job):2003444 [wandb_init.py:init():606] setting up manager
2024-07-22 15:10:02,560 INFO    Thread-15 (_run_job):2003444 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-22 15:10:02,563 INFO    Thread-15 (_run_job):2003444 [wandb_init.py:init():613] backend started and connected
2024-07-22 15:10:02,566 INFO    Thread-15 (_run_job):2003444 [wandb_run.py:_config_callback():1249] config_cb None None {'emb_size': 256, 'epochs': 10, 'hidden_size': 256, 'input_size': 768, 'labelcol': 'EPACategoryIndex', 'layertype': 'OrthoLinear', 'lr': 0.0001, 'output_size': 5, 'seed_idx': 4, 'smilescol': 'SMILES', 'task': ['gpig'], 'test_size': 0.2}
2024-07-22 15:10:02,566 INFO    Thread-15 (_run_job):2003444 [wandb_init.py:init():701] updated telemetry
2024-07-22 15:10:02,574 INFO    Thread-15 (_run_job):2003444 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2024-07-22 15:10:02,872 INFO    Thread-15 (_run_job):2003444 [wandb_run.py:_on_init():2131] communicating current version
2024-07-22 15:10:02,942 INFO    Thread-15 (_run_job):2003444 [wandb_run.py:_on_init():2140] got version response upgrade_message: "wandb version 0.17.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-22 15:10:02,942 INFO    Thread-15 (_run_job):2003444 [wandb_init.py:init():789] starting run threads in backend
2024-07-22 15:10:10,903 INFO    Thread-15 (_run_job):2003444 [wandb_run.py:_console_start():2112] atexit reg
2024-07-22 15:10:10,904 INFO    Thread-15 (_run_job):2003444 [wandb_run.py:_redirect():1967] redirect: 3
2024-07-22 15:10:10,904 INFO    Thread-15 (_run_job):2003444 [wandb_run.py:_redirect():2032] Wrapping output streams.
2024-07-22 15:10:10,904 INFO    Thread-15 (_run_job):2003444 [wandb_run.py:_redirect():2057] Redirects installed.
2024-07-22 15:10:10,904 INFO    Thread-15 (_run_job):2003444 [wandb_init.py:init():831] run started, returning control to user process
2024-07-22 15:10:49,755 INFO    Thread-15 (_run_job):2003444 [wandb_watch.py:watch():51] Watching
2024-07-22 15:10:49,759 INFO    Thread-15 (_run_job):2003444 [wandb_run.py:_finish():1852] finishing run lvairusorg/Multitask_Class_Oral/gvjd17mf
2024-07-22 15:10:49,759 INFO    Thread-15 (_run_job):2003444 [wandb_run.py:_atexit_cleanup():2081] got exitcode: 1
2024-07-22 15:10:49,759 INFO    Thread-15 (_run_job):2003444 [wandb_run.py:_restore():2064] restore
2024-07-22 15:10:49,760 INFO    Thread-15 (_run_job):2003444 [wandb_run.py:_restore():2070] restore done
2024-07-22 15:10:53,686 INFO    Thread-15 (_run_job):2003444 [wandb_run.py:_footer_history_summary_info():3429] rendering history
2024-07-22 15:10:53,686 INFO    Thread-15 (_run_job):2003444 [wandb_run.py:_footer_history_summary_info():3461] rendering summary
2024-07-22 15:10:53,688 INFO    Thread-15 (_run_job):2003444 [wandb_run.py:_footer_sync_info():3387] logging synced files
