2024-07-22 15:09:05,815 INFO    Thread-12 (_run_job):2003572 [wandb_run.py:_on_init():2131] communicating current version
2024-07-22 15:09:05,887 INFO    Thread-12 (_run_job):2003572 [wandb_run.py:_on_init():2140] got version response upgrade_message: "wandb version 0.17.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-22 15:09:05,887 INFO    Thread-12 (_run_job):2003572 [wandb_init.py:init():789] starting run threads in backend
2024-07-22 15:09:14,197 INFO    Thread-12 (_run_job):2003572 [wandb_run.py:_console_start():2112] atexit reg
2024-07-22 15:09:14,197 INFO    Thread-12 (_run_job):2003572 [wandb_run.py:_redirect():1967] redirect: 3
2024-07-22 15:09:14,198 INFO    Thread-12 (_run_job):2003572 [wandb_run.py:_redirect():2032] Wrapping output streams.
2024-07-22 15:09:14,198 INFO    Thread-12 (_run_job):2003572 [wandb_run.py:_redirect():2057] Redirects installed.
2024-07-22 15:09:14,198 INFO    Thread-12 (_run_job):2003572 [wandb_init.py:init():831] run started, returning control to user process
2024-07-22 15:09:53,451 INFO    Thread-12 (_run_job):2003572 [wandb_watch.py:watch():51] Watching
2024-07-22 15:09:53,455 INFO    Thread-12 (_run_job):2003572 [wandb_run.py:_finish():1852] finishing run lvairusorg/Multitask_Class_Oral/ukirtwxv
2024-07-22 15:09:53,456 INFO    Thread-12 (_run_job):2003572 [wandb_run.py:_atexit_cleanup():2081] got exitcode: 1
2024-07-22 15:09:53,456 INFO    Thread-12 (_run_job):2003572 [wandb_run.py:_restore():2064] restore
2024-07-22 15:09:53,456 INFO    Thread-12 (_run_job):2003572 [wandb_run.py:_restore():2070] restore done
2024-07-22 15:09:57,658 INFO    Thread-12 (_run_job):2003572 [wandb_run.py:_footer_history_summary_info():3429] rendering history
2024-07-22 15:09:57,658 INFO    Thread-12 (_run_job):2003572 [wandb_run.py:_footer_history_summary_info():3461] rendering summary
2024-07-22 15:09:57,660 INFO    Thread-12 (_run_job):2003572 [wandb_run.py:_footer_sync_info():3387] logging synced files
