task,best_avg_ep,best_avg_ep_tloss,best_avg_ep_vloss,best_avg_ep_AUC,best_own_ep,best_own_ep_tloss,best_own_ep_vloss,best_own_ep_AUC
CAT,0,1.6044206619262695,1.5935420989990234,0.6678970335220334,0,1.6044206619262695,1.5935420989990234,0.6678970335220334
CHICKEN,0,1.6079471111297607,1.606736421585083,0.5605661304257795,4,1.5804595947265625,1.5712577104568481,0.5916745210604859
total,0,3.2123677730560303,3.2002785205841064,0.6142315819739065,0,0.0,0.0,0.0
