task,best_avg_ep,best_avg_ep_tloss,best_avg_ep_vloss,best_avg_ep_AUC,best_own_ep,best_own_ep_tloss,best_own_ep_vloss,best_own_ep_AUC
CAT,1,1.6042094230651855,1.603734016418457,0.6530886243386244,1,1.6042094230651855,1.603734016418457,0.6530886243386244
CHICKEN,1,1.6071674823760986,1.6057898998260498,0.583847903233868,9,1.5031216144561768,1.5173394680023193,0.6616499225271155
total,1,3.211376905441284,3.209523916244507,0.6184682637862462,0,0.0,0.0,0.0
