2024-07-18 16:26:47,775 INFO    Thread-6 (_run_job):3434369 [wandb_run.py:_redirect():2032] Wrapping output streams.
2024-07-18 16:26:47,775 INFO    Thread-6 (_run_job):3434369 [wandb_run.py:_redirect():2057] Redirects installed.
2024-07-18 16:26:47,776 INFO    Thread-6 (_run_job):3434369 [wandb_init.py:init():831] run started, returning control to user process
2024-07-18 16:26:48,229 INFO    Thread-6 (_run_job):3434369 [wandb_watch.py:watch():51] Watching
2024-07-18 16:26:48,230 INFO    Thread-6 (_run_job):3434369 [wandb_run.py:_finish():1852] finishing run lvairusorg/Multitask Class Oral Test/dar1ha7c
2024-07-18 16:26:48,230 INFO    Thread-6 (_run_job):3434369 [wandb_run.py:_atexit_cleanup():2081] got exitcode: 1
2024-07-18 16:26:48,230 INFO    Thread-6 (_run_job):3434369 [wandb_run.py:_restore():2064] restore
2024-07-18 16:26:48,230 INFO    Thread-6 (_run_job):3434369 [wandb_run.py:_restore():2070] restore done
2024-07-18 16:26:51,446 INFO    Thread-6 (_run_job):3434369 [wandb_run.py:_footer_history_summary_info():3429] rendering history
2024-07-18 16:26:51,446 INFO    Thread-6 (_run_job):3434369 [wandb_run.py:_footer_history_summary_info():3461] rendering summary
2024-07-18 16:26:51,447 INFO    Thread-6 (_run_job):3434369 [wandb_run.py:_footer_sync_info():3387] logging synced files
